Date/Time                   Activity
------------------------    ------------------------------------------------------------
Mon Sep 28 02:20:06 2015    Add demo04
Mon Sep 28 02:03:45 2015    Add demo03
Mon Sep 28 02:02:54 2015    Add tester.sh
Mon Sep 28 02:02:42 2015    Fix missing special variable translations
Mon Sep 28 01:39:27 2015    Add demo02
Mon Sep 28 01:34:15 2015    Add demo01
Mon Sep 28 00:18:26 2015    Add test04 (args)
Mon Sep 28 00:07:07 2015    Add new test03 (ls)
Sun Sep 27 23:56:57 2015    Change test03 to demo00
Sun Sep 27 23:55:49 2015    Update test03
Sun Sep 27 23:51:22 2015    Add str casting to echoConvert
Sun Sep 27 23:19:03 2015    Add test03
Sun Sep 27 23:10:04 2015    Add test01 (test)
Sun Sep 27 23:09:39 2015    Fix bug where 0 was translated to ''
Sun Sep 27 22:32:03 2015    test00.py update
Sun Sep 27 22:31:06 2015    Add test02 (echo)
Sun Sep 27 22:30:00 2015    Fix echo translation not always translating quotes
Sun Sep 27 22:26:37 2015    Fix echo translation
Sun Sep 27 21:51:02 2015    Add lone echo translation
Sun Sep 27 21:11:00 2015    test00 update
Sun Sep 27 20:59:31 2015    Tweak to translate empty strings
Sun Sep 27 20:25:10 2015    Fix missing brackets in test translation
Sun Sep 27 20:04:47 2015    Add test file translations
Sun Sep 27 19:25:39 2015    Add test -b translation
Sun Sep 27 19:21:29 2015    Add more variable interpolation to test translation
Sun Sep 27 19:11:19 2015    Add variable interpolation in test translation
Sun Sep 27 19:08:37 2015    Tweak echo translation to allow for more cases
Sun Sep 27 18:47:27 2015    Add test -nt and -ot translation
Sun Sep 27 18:34:51 2015    Add $cant_translate flag
Sun Sep 27 18:28:00 2015    Fix translation for -n and -z
Sun Sep 27 16:11:43 2015    Fix nested test translation
Sun Sep 27 16:07:28 2015    Tweak test -n and -z translation to use brackets
Sun Sep 27 15:55:46 2015    Disable inaccurate ls with path translation
Sun Sep 27 15:29:34 2015    Fix trailing newlines in backtick translation
Sun Sep 27 15:08:33 2015    Fix ls translation to add newlines
Sun Sep 27 13:53:40 2015    Fix infinite loop bug in backtick translation
Sun Sep 27 03:11:53 2015    Fix testConvert not and nested translation
Sun Sep 27 02:53:46 2015    Fix testConvert "not" translation
Sun Sep 27 02:47:31 2015    Add default test translation
Sun Sep 27 02:32:06 2015    Fix testConvert
Sun Sep 27 01:52:28 2015    Add rm translation
Sun Sep 27 01:46:50 2015    Add mv translation
Sun Sep 27 01:38:11 2015    Add ls translation
Sun Sep 27 00:49:04 2015    Add chmod translation and trailing whitespace guard
Sun Sep 27 00:24:43 2015    Fix echo including trailing whitespace
Sun Sep 27 00:14:38 2015    Fix lack of backtick translation for lists
Sun Sep 27 00:08:53 2015    Assorted Fixes
Sat Sep 26 23:58:49 2015    Add New $* Translation
Sat Sep 26 23:52:36 2015    Revert "Add Translation of $*"
Sat Sep 26 23:48:47 2015    Fix translation of $# to be len(sys.argv)-1
Sat Sep 26 23:38:42 2015    Fix comments to require whitespace before #
Sat Sep 26 23:25:09 2015    Add Translation of $*
